Location;Crop;Unit;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;;;
Malaysia;Maize;Tonnes/hectare;1,75;1,75;1,71;1,90;2,00;1,87;1,80;1,85;1,85;2,11;2,32;2,39;2,92;3,00;3,00;3,00;1,28;4,86;5,22;5,07;5,54;6,13;7,60;7,86;6,10;6,23;6,07;6,50;7,19;7,08;7,08;7,36;7,47;7,55;7,65;7,77;7,90;8,02;8,14;8,27;8,39;;;
Mexico;Maize;Tonnes/hectare;1,99;2,05;2,35;2,44;2,23;2,29;2,24;2,38;2,34;2,47;2,46;2,58;2,71;2,75;2,82;2,93;3,00;3,21;3,32;3,24;3,26;2,91;3,19;3,19;3,30;3,48;3,72;3,79;3,81;4,07;3,80;3,81;3,81;3,82;3,82;3,82;3,83;3,84;3,84;3,85;3,85;;;
New Zealand;Maize;Tonnes/hectare;9,63;9,12;8,36;9,74;9,74;11,30;9,94;10,06;10,14;10,24;10,40;10,50;11,57;11,55;10,93;10,95;10,90;11,23;11,03;10,76;11,38;10,87;10,82;10,63;10,77;11,30;11,67;10,06;11,10;11,74;11,54;10,52;10,96;11,28;11,24;11,22;11,23;11,24;11,24;11,24;11,24;;;
Nigeria;Maize;Tonnes/hectare;1,13;1,13;1,12;1,19;1,27;1,27;1,33;1,25;1,32;1,38;1,03;1,14;1,09;1,21;1,30;1,37;1,65;1,56;1,74;1,71;1,78;2,06;2,02;2,41;2,53;2,21;2,22;2,57;2,96;2,92;2,87;2,95;2,98;3,02;3,05;3,08;3,12;3,15;3,19;3,22;3,25;;;
Norway;Maize;Tonnes/hectare;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;
OECD - Total;Maize;Tonnes/hectare;6,01;5,88;6,50;5,34;6,80;5,84;6,47;6,73;6,85;7,00;6,87;7,01;6,84;6,66;8,16;7,87;7,71;7,92;8,18;8,68;8,21;8,12;6,85;8,42;9,14;8,76;9,27;9,41;9,48;9,10;9,07;9,24;9,29;9,34;9,37;9,41;9,46;9,52;9,57;9,62;9,66;;;
Pakistan;Maize;Tonnes/hectare;1,40;1,42;1,36;1,38;1,48;1,61;1,61;1,63;1,73;1,72;1,74;1,77;1,86;2,00;2,85;2,98;3,04;3,43;3,42;3,49;3,81;3,99;3,98;4,23;4,32;4,42;4,60;4,72;4,79;4,96;5,00;5,08;5,15;5,24;5,33;5,42;5,51;5,60;5,70;5,79;5,88;;;
Paraguay;Maize;Tonnes/hectare;1,65;1,74;1,76;2,12;2,46;2,01;2,75;2,46;2,31;1,95;2,33;2,34;2,43;2,55;2,02;2,56;1,90;1,84;2,40;3,92;3,92;3,10;4,00;4,00;5,25;5,37;5,49;5,00;5,14;5,30;5,30;5,36;5,41;5,47;5,52;5,57;5,63;5,69;5,75;5,80;5,86;;;
Peru;Maize;Tonnes/hectare;1,92;1,88;2,16;2,09;1,96;2,02;1,98;2,10;2,31;2,41;2,59;3,60;3,66;3,48;3,47;3,79;3,94;4,14;4,18;4,26;4,29;4,55;4,47;3,14;3,39;3,25;3,32;3,44;3,56;3,44;3,60;3,65;3,72;3,76;3,81;3,88;3,94;4,00;4,07;4,13;4,19;;;
Philippines;Maize;Tonnes/hectare;1,27;1,30;1,33;1,52;1,53;1,52;1,59;1,59;1,62;1,74;1,80;1,82;1,80;1,92;2,14;2,15;2,37;2,54;2,60;2,62;2,55;2,74;2,86;2,88;2,98;2,94;2,91;3,10;3,10;3,19;3,22;3,27;3,31;3,35;3,40;3,45;3,50;3,56;3,61;3,67;3,72;;;
