Location;Crop;Unit;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;;;
Switzerland;Rice;Thousand tonnes;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,253;0,253;0,253;0,253;0,253;0,242;0,247;0,229;0,268;0,268;0,268;0,268;0,268;0,268;0,268;0,268;0,268;0,268;0,268;0,268;0,268;;;
Thailand;Rice;Thousand tonnes;11 381.760;13 504.800;13 185.050;12 211.910;13 975.480;14 574.590;14 783.780;15 609.960;15 225.330;16 001.860;17 108.728;18 558.508;18 530.704;19 742.826;19 113.926;20 288.976;19 853.380;21 499.774;21 199.226;21 447.476;23 834.648;25 224.186;25 156.000;24 336.444;20 930.454;18 153.364;21 089.334;21 779.016;21 414.452;18 722.684;19 436.320;20 095.441;20 329.549;20 591.368;20 830.688;21 080.346;21 329.312;21 586.639;21 844.149;22 107.970;22 371.561;;;
Türkiye;Rice;Thousand tonnes;138,000;114,000;129,000;135,000;120,000;120,000;168,000;165,000;189,000;204,000;210,000;216,000;216,000;223,200;294,000;360,000;417,600;388,800;451,800;450,000;516,000;540,000;528,000;540,000;498,000;552,000;552,000;540,000;564,000;600,000;588,000;644,453;657,591;668,774;664,120;668,644;672,313;678,908;685,879;694,146;702,685;;;
Ukraine;Rice;Thousand tonnes;0,000;68,030;61,391;45,382;52,696;53,379;55,685;43,350;47,820;42,420;59,830;45,823;50,292;56,028;53,627;61,364;66,367;72,036;67,167;95,314;98,716;113,323;106,587;96,782;33,950;41,688;43,222;42,621;46,163;36,398;38,739;39,895;40,936;41,637;41,888;42,384;42,792;43,293;43,791;44,324;44,857;;;
United Kingdom;Rice;Thousand tonnes;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;
United States;Rice;Thousand tonnes;4 928.083;5 029.107;5 669.979;4 931.240;6 241.397;5 486.873;5 417.419;5 777.317;5 821.515;6 503.428;6 023.563;6 797.029;6 661.278;6 312.113;7 336.877;7 049.590;6 143.529;6 263.496;6 430.817;6 942.251;7 674.676;5 837.300;6 298.223;5 998.307;7 014.862;6 096.174;7 074.846;5 625.781;7 065.375;5 843.614;6 738.035;6 113.732;6 380.922;6 417.640;6 451.252;6 495.264;6 555.732;6 605.417;6 653.991;6 659.138;6 710.745;;;
Viet Nam;Rice;Thousand tonnes;12 823.070;13 087.870;14 400.530;15 232.270;15 693.170;16 650.980;17 606.790;18 358.500;19 440.380;20 939.790;21 144.500;20 870.460;22 390.680;22 469.720;23 497.500;23 291.385;23 302.175;23 362.950;25 174.500;25 317.500;26 003.640;27 559.025;28 429.570;28 625.350;29 233.490;29 309.150;28 057.315;27 780.285;28 629.900;28 285.400;27 747.720;28 229.694;28 685.405;29 215.288;29 698.854;30 203.162;30 695.302;31 217.765;31 739.779;32 282.995;32 823.537;;;
World;Rice;Thousand tonnes;348 727.602;347 951.100;354 236.291;355 832.059;361 805.923;369 245.511;384 049.859;387 856.302;390 370.048;409 876.582;399 994.520;400 659.433;380 149.044;391 622.549;404 470.450;423 411.520;425 413.111;434 328.654;456 623.076;451 331.264;464 724.759;480 716.718;485 937.277;491 158.662;490 905.405;489 203.519;498 143.713;500 428.963;507 342.765;503 316.823;517 209.694;525 068.171;529 211.307;532 727.745;537 066.128;541 955.601;546 699.730;551 772.679;556 896.657;562 044.609;567 269.878;;;
Argentina;Soybean;Thousand tonnes;11 500.000;11 310.000;11 045.000;11 720.000;12 133.000;12 450.000;11 000.000;18 732.000;20 000.000;20 200.000;26 880.000;30 000.000;34 706.000;31 576.000;38 300.000;40 537.000;47 482.000;46 238.000;40 000.000;54 247.000;48 878.000;49 000.000;49 353.000;53 400.000;61 400.000;58 800.000;55 000.000;37 780.000;55 300.000;49 000.000;48 000.000;50 926.622;51 186.688;51 611.177;52 143.702;52 833.515;53 402.454;53 892.684;54 249.915;54 788.182;55 212.701;;;
Australia;Soybean;Thousand tonnes;62,017;62,600;48,889;81,263;27,247;44,606;74,376;54,040;107,189;104,020;48,649;63,061;9,212;59,807;44,689;50,149;25,490;34,730;80,105;59,600;29,750;52,272;69,523;31,609;37,439;39,520;31,018;51,237;42,028;41,200;44,055;41,898;40,394;40,861;41,297;41,750;42,211;42,686;43,151;43,626;44,097;;;
Brazil;Soybean;Thousand tonnes;19 418.600;23 042.100;25 059.200;25 934.100;23 189.700;23 166.874;26 392.636;31 369.900;30 765.000;32 344.600;38 431.800;41 916.900;52 017.500;49 792.700;52 304.600;55 027.100;58 391.800;60 017.700;57 165.500;68 688.200;75 324.300;66 383.000;81 499.400;86 120.800;96 228.000;95 697.605;115 026.672;123 258.561;120 718.100;126 344.800;132 953.200;134 296.302;136 495.752;138 857.860;140 263.556;141 683.672;143 018.287;144 794.555;146 325.919;148 077.614;149 335.056;;;
BRICS;Soybean;Thousand tonnes;20 135.930;35 934.300;39 323.191;46 550.825;43 600.772;42 030.114;45 224.529;51 728.436;51 713.031;52 264.996;59 342.554;63 233.535;73 449.030;72 596.177;77 362.836;80 606.198;84 437.336;84 568.296;83 649.496;95 334.939;105 266.001;95 946.021;112 065.606;112 809.762;122 839.775;120 601.165;145 873.790;154 682.321;155 822.903;161 189.501;170 696.906;172 700.804;175 520.675;178 660.178;180 672.252;182 720.214;184 533.506;186 824.952;188 823.843;191 085.503;192 771.962;;;
Canada;Soybean;Thousand tonnes;1 262.100;1 459.900;1 453.300;1 944.900;2 253.700;2 297.500;2 169.500;2 737.700;2 736.600;2 780.900;2 703.000;1 635.200;2 335.700;2 273.300;3 043.900;3 155.600;3 465.500;2 695.700;3 335.900;3 581.600;4 444.600;4 466.500;5 086.400;5 355.900;6 044.800;6 456.300;6 596.500;7 716.600;7 416.600;6 145.000;6 358.548;7 253.465;7 365.803;7 560.676;7 769.756;8 024.037;8 221.503;8 451.632;8 641.808;8 845.501;9 037.863;;;
Chile;Soybean;Thousand tonnes;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;
China (People's Republic of);Soybean;Thousand tonnes;0,000;9 710.000;10 300.000;15 307.000;16 000.000;13 500.000;13 220.000;14 728.000;15 152.000;14 251.000;15 410.000;15 407.000;16 507.000;15 394.000;17 404.000;16 350.000;15 967.000;12 725.000;15 545.000;15 225.000;15 410.000;14 880.000;13 435.000;12 405.000;12 685.000;12 365.000;13 595.000;15 280.000;15 967.100;18 100.000;19 600.000;19 991.315;20 360.648;20 822.347;21 208.071;21 590.562;21 825.735;22 078.834;22 276.065;22 504.688;22 671.050;;;
Colombia;Soybean;Thousand tonnes;0,000;96,002;113,212;109,390;94,993;58,103;90,297;71,968;72,000;39,000;38,000;56,000;54,000;63,000;64,000;64,000;65,000;65,000;65,000;65,000;65,000;80,000;70,000;70,000;70,652;70,000;70,000;70,000;70,000;75,000;75,000;76,033;77,229;78,424;79,203;80,117;81,129;82,368;83,495;84,705;85,729;;;
Egypt;Soybean;Thousand tonnes;0,000;58,943;50,475;67,245;63,427;39,718;34,600;25,000;30,000;30,000;30,000;15,000;18,000;29,000;43,000;26,000;23,026;26,000;29,010;26,000;43,000;30,000;26,000;33,000;40,000;30,000;35,000;30,000;30,000;30,000;30,000;29,846;30,172;30,606;30,759;30,857;30,936;31,095;31,240;31,411;31,550;;;
Ethiopia;Soybean;Thousand tonnes;0,000;20,000;21,000;22,000;21,000;22,000;23,000;23,000;24,000;25,000;25,000;25,000;25,000;25,000;25,000;25,000;25,000;25,000;25,000;7,000;16,000;36,000;64,000;61,000;72,000;85,000;82,000;115,000;120,000;120,000;120,000;124,287;127,474;130,450;132,650;134,957;137,360;140,064;142,630;145,382;147,906;;;
India;Soybean;Thousand tonnes;0,000;2 492.000;3 390.000;4 745.200;3 931.000;4 993.000;5 209.000;5 150.000;5 300.000;5 160.000;5 010.000;5 350.000;4 300.000;6 880.000;6 880.000;8 270.000;8 850.000;10 970.000;9 910.000;9 960.000;12 740.000;12 210.000;14 670.000;11 860.000;10 374.000;8 570.000;13 159.000;10 934.000;13 268.000;11 215.000;12 600.000;12 826.021;12 930.171;13 087.030;13 196.411;13 326.035;13 496.451;13 637.525;13 798.748;13 945.337;14 096.959;;;
Indonesia;Soybean;Thousand tonnes;0,000;1 555.450;1 869.710;1 708.530;1 564.850;1 680.010;1 517.180;1 357.000;1 382.000;1 383.000;1 020.000;827,000;672,000;672,000;724,000;808,000;749,000;590,000;777,000;975,000;910,000;851,000;843,000;780,000;963,000;858,000;543,000;600,000;650,000;424,000;620,000;615,952;621,685;626,554;630,231;634,175;638,551;644,167;649,161;654,477;658,835;;;
Iran;Soybean;Thousand tonnes;0,000;69,000;100,000;130,000;235,000;79,000;66,000;142,000;138,000;80,439;142,000;130,000;113,900;130,000;160,000;200,000;210,000;200,000;250,000;190,000;165,000;170,000;174,000;174,000;180,000;190,000;197,000;200,000;210,000;210,000;220,000;221,504;225,194;228,958;231,837;235,104;238,574;242,513;246,257;250,220;253,813;;;
Israel;Soybean;Thousand tonnes;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;
Japan;Soybean;Thousand tonnes;220,000;197,000;188,000;101,000;99,000;119,000;148,000;145,000;158,000;187,200;235,000;271,400;270,200;232,200;163,200;225,000;229,200;226,700;261,700;229,900;222,500;218,800;235,900;199,900;231,800;243,100;238,000;253,000;211,000;218,000;241,653;247,350;247,986;248,744;249,149;249,730;250,368;251,132;251,769;252,441;252,995;;;
Kazakhstan;Soybean;Thousand tonnes;0,000;14,000;11,800;5,860;5,510;3,715;2,953;3,311;4,000;4,000;4,000;7,000;7,000;50,000;50,000;50,000;48,000;70,000;89,000;94,000;114,000;153,000;170,000;203,000;218,000;220,000;231,000;255,000;255,000;282,000;285,000;294,146;292,737;300,815;304,816;309,399;314,655;319,950;325,163;330,534;335,636;;;
Korea;Soybean;Thousand tonnes;232,786;183,171;175,925;170,151;154,380;159,640;160,081;156,489;140,441;116,120;113,196;117,723;115,024;105,089;138,570;183,338;156,404;114,245;132,674;139,251;105,345;129,394;122,519;154,067;139,267;103,504;75,448;85,644;89,410;92,586;98,982;102,009;106,349;110,889;115,277;119,716;124,140;128,801;133,491;138,345;143,121;;;
Malaysia;Soybean;Thousand tonnes;0,000;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;;;
Mexico;Soybean;Thousand tonnes;575,000;724,969;593,540;497,566;522,583;189,774;56,074;184,526;150,300;132,819;102,400;121,800;86,500;126,006;133,347;187,017;81,113;88,371;153,022;120,942;167,666;205,234;247,500;239,248;387,366;341,088;509,114;432,928;324,011;244,446;268,411;351,500;381,111;410,976;441,898;473,043;494,509;515,997;537,567;559,839;582,112;;;
New Zealand;Soybean;Thousand tonnes;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;
Nigeria;Soybean;Thousand tonnes;0,000;145,000;154,000;163,000;178,000;192,000;322,000;361,000;410,000;429,000;436,000;464,000;494,000;528,000;565,000;605,000;617,000;600,000;720,000;620,000;620,000;680,000;650,000;518,000;679,000;650,000;760,000;650,000;670,000;700,000;700,000;706,029;712,689;719,207;723,980;729,313;734,752;740,717;746,086;751,584;756,232;;;
Norway;Soybean;Thousand tonnes;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;
OECD - Total;Soybean;Thousand tonnes;57 083.375;58 818.537;63 806.085;54 937.210;72 949.419;63 352.922;68 847.536;78 211.616;79 997.236;77 213.825;79 669.224;82 455.390;79 148.492;70 697.066;89 866.790;88 569.012;92 466.459;76 967.979;85 572.793;96 612.167;96 948.855;90 723.904;89 707.115;98 841.496;115 778.898;116 605.953;127 088.426;131 475.617;131 641.897;106 327.654;122 557.609;126 529.258;127 635.305;128 855.578;130 023.237;131 303.021;132 340.880;133 498.079;134 505.228;135 837.739;136 920.436;;;
Pakistan;Soybean;Thousand tonnes;0,000;1,327;2,355;5,268;7,228;2,694;7,311;9,000;9,000;9,000;9,000;9,000;9,000;9,000;9,000;9,000;9,000;9,000;9,000;9,000;9,000;9,000;4,000;4,000;10,000;4,000;2,000;2,000;2,000;2,000;2,000;2,090;2,135;2,192;2,223;2,256;2,290;2,333;2,373;2,414;2,452;;;
Paraguay;Soybean;Thousand tonnes;0,000;1 617.940;1 793.540;1 795.790;2 212.110;2 394.790;2 771.000;2 856.000;3 053.000;2 980.000;3 511.000;3 300.000;4 205.000;4 120.000;4 050.000;3 920.000;6 200.000;7 200.000;4 153.000;7 100.000;8 373.000;4 040.000;8 202.000;9 000.000;8 600.000;9 400.000;10 050.000;9 950.000;8 700.000;10 550.000;10 000.000;10 253.112;10 401.051;10 642.113;10 818.997;11 008.507;11 208.660;11 429.745;11 649.051;11 879.957;12 103.779;;;
Peru;Soybean;Thousand tonnes;0,000;0,304;0,963;0,800;1,358;2,209;7,268;3,000;3,000;3,000;3,000;3,000;3,000;3,000;3,000;3,000;3,000;3,000;3,000;5,000;5,000;5,000;5,000;5,000;5,000;5,000;5,000;5,000;5,000;5,000;5,000;5,250;5,340;5,495;5,584;5,679;5,785;5,909;6,031;6,161;6,284;;;
Philippines;Soybean;Thousand tonnes;0,000;3,240;3,676;4,275;4,344;3,524;2,000;1,000;2,000;2,000;2,000;2,000;2,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,059;1,079;1,101;1,118;1,131;1,147;1,167;1,187;1,207;1,227;;;
Russia;Soybean;Thousand tonnes;717,330;622,200;505,360;496,790;421,540;290,240;282,893;279,536;295,031;334,396;341,754;349,635;422,530;392,477;554,236;686,098;804,536;650,596;746,996;945,739;1 225.701;1 763.021;1 811.206;1 638.962;2 604.775;2 898.560;3 351.118;3 893.760;4 329.703;4 359.701;4 282.706;4 250.009;4 363.278;4 490.062;4 574.654;4 661.553;4 705.251;4 793.436;4 869.028;4 967.331;5 041.690;;;
Saudi Arabia;Soybean;Thousand tonnes;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;
South Africa;Soybean;Thousand tonnes;0,000;68,000;68,631;67,735;58,532;80,000;120,000;201,000;201,000;175,000;149,000;210,000;202,000;137,000;220,000;273,000;424,000;205,000;282,000;516,000;566,000;710,000;650,000;785,000;948,000;1 070.000;742,000;1 316.000;1 540.000;1 170.000;1 261.000;1 337.157;1 370.825;1 402.879;1 429.560;1 458.394;1 487.783;1 520.602;1 554.083;1 590.533;1 627.208;;;
Switzerland;Soybean;Thousand tonnes;2,611;3,621;4,743;4,121;4,663;4,848;4,733;6,197;7,514;7,553;3,750;1,250;4,860;5,900;7,100;4,000;3,000;2,600;2,900;3,000;3,100;3,300;3,050;3,553;3,882;4,054;4,500;5,642;3,740;5,350;5,930;6,031;6,133;6,238;6,344;6,452;6,561;6,673;6,786;6,902;7,019;;;
Thailand;Soybean;Thousand tonnes;0,000;435,587;480,148;520,600;524,100;453,700;359,094;337,790;321,235;319,015;279,000;261,000;236,000;223,000;215,000;220,000;212,000;184,000;187,000;176,000;152,000;96,000;64,000;53,000;52,000;58,000;55,000;38,000;43,000;43,000;43,000;43,924;44,116;44,293;44,306;44,348;44,416;44,557;44,647;44,763;44,792;;;
Türkiye;Soybean;Thousand tonnes;0,000;110,000;95,000;63,000;70,000;75,000;50,000;40,000;57,000;62,000;45,000;54,000;95,000;85,000;50,000;29,000;47,000;31,000;34,000;38,000;87,000;122,000;122,000;180,000;149,000;160,000;164,000;139,000;140,000;140,000;140,000;142,065;144,288;146,534;148,296;150,160;152,103;154,309;156,386;158,569;160,524;;;
Ukraine;Soybean;Thousand tonnes;0,000;135,327;120,000;61,000;31,000;22,000;15,000;18,000;36,000;45,000;64,000;74,000;125,000;245,000;264,000;613,000;889,000;722,000;813,000;1 043.000;1 680.000;2 260.000;2 410.000;2 663.000;3 871.000;3 931.000;4 277.000;3 899.000;4 461.000;3 699.000;2 862.000;3 107.485;3 179.484;3 275.960;3 334.672;3 394.583;3 450.740;3 519.293;3 583.539;3 649.888;3 710.278;;;
United Kingdom;Soybean;Thousand tonnes;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;
United States;Soybean;Thousand tonnes;52 415.294;54 064.584;59 603.040;50 893.920;68 448.240;59 167.584;64 774.080;73 178.381;74 599.056;72 250.315;75 061.728;78 681.456;75 007.296;66 788.064;85 022.784;83 362.608;87 009.552;72 857.232;80 749.872;91 418.544;90 602.064;84 206.304;82 791.072;91 391.328;106 877.232;106 850.016;116 919.936;120 049.776;120 512.448;96 671.232;112 538.160;115 323.951;116 216.620;117 135.785;118 007.162;118 938.597;119 701.531;120 534.793;121 260.568;122 287.482;123 087.564;;;
Viet Nam;Soybean;Thousand tonnes;0,000;80,000;80,000;105,700;124,500;125,500;113,800;113,000;146,700;147,200;149,300;176,300;201,400;201,000;201,000;293,000;258,000;275,000;268,000;215,000;299,000;267,000;174,000;168,000;158,000;146,000;148,000;102,000;81,000;76,000;76,000;82,156;84,379;87,305;88,667;89,725;91,114;93,019;95,023;96,953;98,928;;;
World;Soybean;Thousand tonnes;88 719.319;111 629.137;120 441.270;119 556.899;135 464.767;124 676.144;132 251.422;155 884.768;159 273.930;157 124.317;174 196.589;183 628.963;196 598.971;184 386.532;215 280.648;219 917.205;237 525.782;221 435.235;220 769.719;261 926.560;268 865.400;250 764.645;271 439.520;286 966.057;322 686.689;319 139.842;352 315.946;346 372.697;365 511.573;339 540.898;363 345.273;372 859.290;377 343.163;382 618.783;386 656.553;391 017.474;394 797.232;399 148.031;402 910.813;407 463.415;411 051.918;;;
